Title,Channel,Published,UploadYear,Category
The Gummy Bear Song - Long English Version,icanrockyourworld,09-10-2007,2007,Non-Musical
Numb [Official Music Video] - Linkin Park,Linkin Park,05-03-2007,2007,Musical
Osito Gominola - Full Spanish Version - The Gummy Bear Song,icanrockyourworld,16-10-2007,2007,Non-Musical
Queen – Bohemian Rhapsody (Official Video Remastered),Queen Official,01-08-2008,2008,Musical
Katy Perry - Hot N Cold (Official),KatyPerryVEVO,14-10-2008,2008,Musical
Crazy Frog - Axel F (Official Video),Crazy Frog,17-06-2009,2009,Musical
Guns N' Roses - November Rain,GunsNRosesVEVO,25-12-2009,2009,Musical
Lady Gaga - Bad Romance (Official Music Video),LadyGagaVEVO,24-11-2009,2009,Musical
Nirvana - Smells Like Teen Spirit (Official Music Video),NirvanaVEVO,16-06-2009,2009,Musical
Guns N' Roses - Sweet Child O' Mine (Official Music Video),GunsNRosesVEVO,25-12-2009,2009,Musical
In The End [Official HD Music Video] - Linkin Park,Linkin Park,26-10-2009,2009,Musical
Taylor Swift - You Belong With Me,TaylorSwiftVEVO,16-06-2009,2009,Musical
50 Cent - In Da Club (Official Music Video),50CentVEVO,16-06-2009,2009,Musical
Beyoncé - Halo,BeyoncéVEVO,03-10-2009,2009,Musical
Eminem - Without Me (Official Music Video),EminemVEVO,16-06-2009,2009,Musical
The Cranberries - Zombie (Official Music Video),TheCranberriesVEVO,16-06-2009,2009,Musical
System Of A Down - Chop Suey! (Official Video),systemofadownVEVO,03-10-2009,2009,Musical
Michael Jackson - Billie Jean (Official Video),michaeljacksonVEVO,03-10-2009,2009,Musical
Bon Jovi - It's My Life (Official Music Video),Bon Jovi,17-06-2009,2009,Musical
Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,NellyVEVO,06-10-2009,2009,Musical
Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),shakiraVEVO,04-06-2010,2010,Musical
Justin Bieber - Baby (Official Music Video) ft. Ludacris,JustinBieberVEVO,19-02-2010,2010,Musical
Eminem - Love The Way You Lie ft. Rihanna,EminemVEVO,05-08-2010,2010,Musical
