,videoId,publishedAt,channelID,title,channelTitle,viewCount,channelType
0,WG_A1DjPqIs,2022-04-22T12:30:15Z,UCJbg_yirB5vm9VKn5yLGCKw,I made 60fps Flipbooks using A.I.,Andymation,14644944,"['/m/019_rr', '/m/03glg']"
1,gOVqHNEwhGk,2022-11-19T17:00:36Z,UCf7k_CRPu1ufFYXBCPHEt4g,AI Art vs Professional Artist,1 Minute Talk Show,6204282,"['/m/02jjt', '/m/09kqc', '/m/02vxn']"
2,J6Mdq3n6kgk,2022-07-21T12:21:53Z,UCvCYE-3TrY1GAe2l8K08N-w,Stunning AI shows how it would kill 90%. w Elon Musk.,Digital Engine,5978765,"['/m/01k8wb', '/m/098wr', '/m/07c1v', '/m/019_rr']"
3,b2bdGEqPmCI,2022-09-11T19:31:19Z,UCvCYE-3TrY1GAe2l8K08N-w,"This intense AI anger is exactly what experts warned of, w Elon Musk.",Digital Engine,5110616,"['/m/07c1v', '/m/019_rr', '/m/01k8wb', '/m/098wr']"
4,PwY-jVSM-f0,2022-05-05T20:43:03Z,UClyGlKOhDUooPJFy4v_mqPg,I used an A.I. to make videogame characters fight to the death,DougDoug,3758392,"['/m/0403l3g', '/m/03hf_rm', '/m/02ntfj', '/m/025zzc', '/m/0bzvm2']"
5,zFO8_dLo8Oo,2022-09-13T19:03:46Z,UClyGlKOhDUooPJFy4v_mqPg,Twitch Chat and I invaded Europe with Artificial Intelligence,DougDoug,3087518,"['/m/02ntfj', '/m/0bzvm2', '/m/025zzc', '/m/0403l3g', '/m/03hf_rm']"
6,u2aiUs5giDc,2022-09-20T18:24:42Z,UClyGlKOhDUooPJFy4v_mqPg,Twitch Chat and I invaded USA with Artificial Intelligence,DougDoug,2685191,"['/m/025zzc', '/m/02ntfj', '/m/0bzvm2', '/m/0403l3g', '/m/03hf_rm']"
7,dazC6msRuJw,2022-11-01T19:57:04Z,UClyGlKOhDUooPJFy4v_mqPg,Twitch Chat and I invaded Space with Artificial Intelligence,DougDoug,2241495,"['/m/025zzc', '/m/03hf_rm', '/m/0403l3g', '/m/0bzvm2', '/m/02ntfj']"
8,JV6jqrFrjEQ,2022-02-25T17:14:29Z,UCLEVrhumRsK67JkP3G4w5cQ,Pro Artist vs A.I. Art 🖌️🤖 (WHO WINS?!) #shorts,Ross Draws,1961321,"['/m/019_rr', '/m/03glg']"
9,2NE0SLKbtWM,2022-03-17T19:02:07Z,UClyGlKOhDUooPJFy4v_mqPg,I built an Ai Family to beat my Twitch Chat in Mario Maker,DougDoug,1756697,"['/m/02ntfj', '/m/0403l3g', '/m/0bzvm2', '/m/03hf_rm', '/m/025zzc']"
10,bKUbCtjDddI,2022-10-17T02:05:00Z,UCnhZLX5aZhoMADqHZrCiObw,Super Powerful NPC Fights the Smart AI (with Active Ragdoll Physics),NPC Spawner,1678945,"['/m/0bzvm2', '/m/025zzc', '/m/02ntfj']"
