,id,title,views,author,channel_url,duration
0,0,Me at the zoo,223825141,jawed,https://www.youtube.com/channel/UC4QobU6STFB0P71PMvOGN5A,19
1,1,My Snowboarding Skillz,1871354,mw,https://www.youtube.com/channel/UC7DazZtuimjEKKjU2M6aq8w,11
2,2,tribute,971961,gp,https://www.youtube.com/channel/UCBE8t4E44we_imhhyszl1UA,5
3,3,Premature Baldness,390815,paul,https://www.youtube.com/channel/UCte57iiJGIoDn4qBKSsWWJA,120
4,4,carrie rides a truck,331165,Jones4Carrie,https://www.youtube.com/channel/UC7K5am1UAQEsCRhzXpi9i1g,15
5,5,carrie chokes the chicken,172714,Jones4Carrie,https://www.youtube.com/channel/UC7K5am1UAQEsCRhzXpi9i1g,10
6,6,cybergoon squad,375075,greg,https://www.youtube.com/channel/UC5l78QKtMGTi4jSVST0EAVg,5
7,7,Vernal Lullaby,273453,Adam Quirk,https://www.youtube.com/channel/UClQYeQWfUg0zSyMPPCagpXQ,83
8,8,Sleep Like Lumber?,217127,zubazpants,https://www.youtube.com/channel/UCPNFn2Bx83YqtAaNwbpqFYQ,23
9,9,american life,168423,Jones4Carrie,https://www.youtube.com/channel/UC7K5am1UAQEsCRhzXpi9i1g,5
10,10,free frosty weekend!,101586,Jones4Carrie,https://www.youtube.com/channel/UC7K5am1UAQEsCRhzXpi9i1g,15
11,11,Good Times!!!,1209077,zubazpants,https://www.youtube.com/channel/UCPNFn2Bx83YqtAaNwbpqFYQ,64
12,12,Pajamas and Nick Drake,230986,steve,https://www.youtube.com/channel/UCeAS7YuMOKpz39PD07O2p_w,30
13,13,First Back Flip on Youtube! (House dismount),617245,COBALTGRUV,https://www.youtube.com/channel/UCs0ACZIa1m4ecu2zijr-8Sg,60
14,14,Family fight,44971,Jones4Carrie,https://www.youtube.com/channel/UC7K5am1UAQEsCRhzXpi9i1g,15
15,15,kitty,612,Jones4Carrie,https://www.youtube.com/channel/UC7K5am1UAQEsCRhzXpi9i1g,7
16,16,Stadion Bayen München,124271,Dominoes,https://www.youtube.com/channel/UCaKcbzZEMmU6I3XoP9h5H3Q,41
17,17,American Indian,38689,woomou,https://www.youtube.com/channel/UCSs-Ckg0cj_g0OsiHbEwK9Q,55
18,18,Waves 1,27727,Scott S,https://www.youtube.com/channel/UCk3Kx4MDulSF_K20NJy89jA,59
19,19,Waves 2,13402,Scott S,https://www.youtube.com/channel/UCk3Kx4MDulSF_K20NJy89jA,42
20,20,Kites,26915,Scott S,https://www.youtube.com/channel/UCk3Kx4MDulSF_K20NJy89jA,34
21,21,Bikes,21661,Scott S,https://www.youtube.com/channel/UCk3Kx4MDulSF_K20NJy89jA,47
22,22,Chuck's Mom,21680,Chuckumentary,https://www.youtube.com/channel/UC63LcG1G4WkJ2WJKqtmTnHQ,204
23,23,Toronto Autoshow 2005,14497,Scott S,https://www.youtube.com/channel/UCk3Kx4MDulSF_K20NJy89jA,60
24,24,sex ad,62868,Fentid,https://www.youtube.com/channel/UCo--75Gu5kfDjAr21ZqXKJw,26
25,25,The Gates Unfurling,9824,Dirk Olbertz,https://www.youtube.com/channel/UCgu8dMvj52cYmzW0cOPzl8w,19
26,26,Switching on the PSP,56085,Dirk Olbertz,https://www.youtube.com/channel/UCgu8dMvj52cYmzW0cOPzl8w,30
27,27,Demonstrating sleep mode on PSP,32845,Dirk Olbertz,https://www.youtube.com/channel/UCgu8dMvj52cYmzW0cOPzl8w,13
28,28,Rugby: Drop di Paul Griffen - Argentina v Italia (2005),16150,Dario Spano,https://www.youtube.com/channel/UCj6zTRmM9iYsKIkgmL4weIw,24
29,29,fanvideo,8851,Rafa M.,https://www.youtube.com/channel/UCbcobSkVyNQC-vmEDrkI5PA,197
30,30,ILS 6L DAY OVC001 1/4SM FG,61978,lulrich,https://www.youtube.com/channel/UCtOl-ChCfPOo7jC6r5XoNMw,40
31,31,"Kid sings New York, New York",7644,maxkash,https://www.youtube.com/channel/UC3py5vAwncNAHztBQUFd4Qg,28
32,32,Rock in a Basement in Brooklyn,4858,maxkash,https://www.youtube.com/channel/UC3py5vAwncNAHztBQUFd4Qg,12
33,33,Honduras Canal Float,4774,maxkash,https://www.youtube.com/channel/UC3py5vAwncNAHztBQUFd4Qg,17
34,34,Cat,44498,Lowell Smidteboom,https://www.youtube.com/channel/UCV_wnfh_uLim_8oLeC14qKg,32
35,35,Electric Pickle,348514,Stefan Powell,https://www.youtube.com/channel/UC3aajiUOEK1PtH0QcxRuFkQ,15
36,36,Axe girls,117874,loafoe,https://www.youtube.com/channel/UCQzZf92NInEfiLDCejbMuhA,30
37,37,alaskan malamute puppy,19202,Caridad Contreras,https://www.youtube.com/channel/UCbSCfXrtN71uNgMHanxMktg,15
38,38,alaskan malamute puppy,13214,Caridad Contreras,https://www.youtube.com/channel/UCbSCfXrtN71uNgMHanxMktg,15
39,39,small but powerful,100211,Cow,https://www.youtube.com/channel/UCAkqfD0PnSi5oR5ewfcbalA,31
40,40,GTA:SA,876977,EselGesi,https://www.youtube.com/channel/UCFoTBvwWmQvknGhgYdWpJ0Q,180
41,41,"Police Training in front of the Madison Square Garden, NYC",43548,Dirk Olbertz,https://www.youtube.com/channel/UCgu8dMvj52cYmzW0cOPzl8w,76
42,42,St. Patrick's Parade 2005,6437,Dirk Olbertz,https://www.youtube.com/channel/UCgu8dMvj52cYmzW0cOPzl8w,43
43,43,NYC Subway: Canal Street Station,12034,overdramatic,https://www.youtube.com/channel/UCOjCepOWk9gjXIpQtFIM08A,8
44,44,NYC Subway: Underground Travel,4830,overdramatic,https://www.youtube.com/channel/UCOjCepOWk9gjXIpQtFIM08A,34
45,45,NYC Subway: W Train,7001,overdramatic,https://www.youtube.com/channel/UCOjCepOWk9gjXIpQtFIM08A,60
46,46,Chelsea NYC - Coffee Shop,3446,overdramatic,https://www.youtube.com/channel/UCOjCepOWk9gjXIpQtFIM08A,36
47,47,"Canal Street - TriBeCa, NY",5341,overdramatic,https://www.youtube.com/channel/UCOjCepOWk9gjXIpQtFIM08A,60
48,48,Houston Street in Greenwich Village,3271,overdramatic,https://www.youtube.com/channel/UCOjCepOWk9gjXIpQtFIM08A,18
49,49,Drue Kataoka Gold Flute,34507,drue,https://www.youtube.com/channel/UC6T3UnlYbYTuF-pa6mZ_5_Q,94
50,50,World Trade Center,28287,overdramatic,https://www.youtube.com/channel/UCOjCepOWk9gjXIpQtFIM08A,23
51,51,"MacDougal St., Greenwich Village",6774,overdramatic,https://www.youtube.com/channel/UCOjCepOWk9gjXIpQtFIM08A,95
52,52,Krattenbrug TUe,4704,Pierre Gorissen,https://www.youtube.com/channel/UCvvegwU_qJD4aosmH87_14Q,205
53,53,Debate Sgae,59725,Antonio deniman,https://www.youtube.com/channel/UCN0KN_KOEbuFjhDoMSPoj9Q,61
54,54,Dancing,6601,OldSkoolSteve,https://www.youtube.com/channel/UCJjfzAv5vlFRNchBbrwouqA,56
55,55,Probes Iniciacio A,2679,CLUB PATINATGE ARTÍSTIC RIPOLLET,https://www.youtube.com/channel/UCk-jiyxWKtM0jq_Ee2h-E5g,970
56,56,steve chen is a bitch give me tunafat,38149,johnkuang,https://www.youtube.com/channel/UC-LU8JLlNSpwUnT7pvXwdVQ,174
57,57,syazwan - best football skills,1547503,ahmad syazwan,https://www.youtube.com/channel/UC3b2_EFKY78LkBdXa_qTKaw,225
58,58,"65' sail boat,house boat,for sale,San Juan Is Friday Harbor",39897,Gary Evans,https://www.youtube.com/channel/UC0G2eyJ5_Z4Je9FtiBr6h9Q,105
59,59,Bayside LIRR Station,8461,overdramatic,https://www.youtube.com/channel/UCOjCepOWk9gjXIpQtFIM08A,21
60,60,Dogs,11535,Ezza,https://www.youtube.com/channel/UC_dGgflfXrnLvhl-fQWZU_Q,30
61,61,Oscar,2810,Ezza,https://www.youtube.com/channel/UC_dGgflfXrnLvhl-fQWZU_Q,64
62,62,June 26 2005,13566,Johnny Söderberg,https://www.youtube.com/channel/UC5kTDGdUdMSem8efhk-oX4A,52
63,63,First time jump on wakeboard　ウエークボード,150662,yasushin,https://www.youtube.com/channel/UCLzwix1tJJiUl9CGQGnvxOw,4
64,64,Main Street Disneyland Treats,13467,moondoggie,https://www.youtube.com/channel/UCCrvYga1q1--WS7RkkDP8Wg,32
65,65,the lake,5521,Jones4Carrie,https://www.youtube.com/channel/UC7K5am1UAQEsCRhzXpi9i1g,15
66,66,my jungle kitty,4891,Jones4Carrie,https://www.youtube.com/channel/UC7K5am1UAQEsCRhzXpi9i1g,15
67,67,Cat hit the fan,95851,fest,https://www.youtube.com/channel/UCOPMAWZop6uzCpyspaCjX1A,13
68,68,Don't Stop Till You Get To Bollywood,151789,afu9,https://www.youtube.com/channel/UCC9HbNUmSZIsIhBE9nOTFpw,239
69,69,"maculele in Venice, California",8704,moondoggie,https://www.youtube.com/channel/UCCrvYga1q1--WS7RkkDP8Wg,33
70,70,riders from the 508,9139,derick miceli,https://www.youtube.com/channel/UCKNCvXhAb5HuPij6U-Qy2TQ,123
71,71,508 style,12182,derick miceli,https://www.youtube.com/channel/UCKNCvXhAb5HuPij6U-Qy2TQ,238
72,72,Fan Rushes Maynard from Tool,57094,slvgdvg,https://www.youtube.com/channel/UCo7V0qVLXMJ2pTqmKQyrXXQ,132
73,73,Coppé - I Lick My Brain In Silence,30399,slvgdvg,https://www.youtube.com/channel/UCo7V0qVLXMJ2pTqmKQyrXXQ,150
74,74,數字拳,10307,Jerry Yang,https://www.youtube.com/channel/UCjeJRYEOR4H590mrMPt7L9A,52
75,75,ride with the 508,16420,derick miceli,https://www.youtube.com/channel/UCKNCvXhAb5HuPij6U-Qy2TQ,201
76,76,Time to Convert to DVD,7819,slvgdvg,https://www.youtube.com/channel/UCo7V0qVLXMJ2pTqmKQyrXXQ,14
77,77,Swedish Helicopter Crash,7155434,slvgdvg,https://www.youtube.com/channel/UCo7V0qVLXMJ2pTqmKQyrXXQ,90
78,78,"Worst Singing Ever, In a Stadium Setting",2924117,slvgdvg,https://www.youtube.com/channel/UCo7V0qVLXMJ2pTqmKQyrXXQ,156
